idstd,id,a4a,a6a,a2,a4b,a0,a3a,a6b,a14d,a14m,a14y,a14h,a14min,a1,a12,a1a,a1c,a7,a7a,a7b,a11,a7c,a9,a20y,a20m,a20d,b1,b1x,b3,b2a,b2b,b2c,b2d,b4,b4a,KENb1,KENb2,b5,b6,b6a,b6b,b7,b7a,b8,b8x,KENb3,KENb4,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,c22b,c30a,d1a1a,d1a1x,d1a3,d2,d2x,n3,d3a,d3b,d3c,d4,d5a,d8,d10,d11,d12a,d12b,d13,d14,d15a,d30a,d30b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e6,e11,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,KENh1a,KENh1b,KENh1c,KENh2a,KENh2b,KENh2c,KENh2d,KENh3,KENh4a,KENh4b,KENh4c,KENh4d,KENh5,KENh6,KENh7,KENh8,KENh9a,KENh9b,KENh9c,f1,f2,KENf1a,KENf1b,KENf1c,KENf1d,KENf1e,g6a,g1a,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k3a,k3bc,k3e,k3f,k3hd,KENk1,KENk2,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k16,k17,k20a1,k21,KENk3,KENk4,KENk5,k30,MMs1,MMs2,MMs3,MMs4,MMs5,MMs6,MMs7,MMs8,MMs9,MMs10,MMs12,MMs11,h7a,j2,j3,j4,j5,KENj1,KENj2,j6a,j6,j7a,j7b,KENj3,KENj4,KENj5,KENj6,KENj7,KENj8,j10,j11,j12,j13,j14,j15,KENj9,KENj10,KENj11a,KENj11b,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l30a,l30b,m1a,n2a,n2e,n2b,n2i,n2p,n2e1,n7a,a15d,a15m,a15y,a15h,a15min,a15a1a,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
629239,2181,Other Services,Small,Trans Nzoia,IT,Other services,Trans Nzoia,Small,26,10,2018,12,3,Kenya,Nr1015,English,Establishment,No,,,,,,2017,12,31,Shareholding company with non-traded shares or shares traded privately,,70,100,0,0,0,No,,70,0,2014,4,Yes,2014,5,No,No,,No,No,No,,,Yes,5.0,12.0,0.0,,21000.0,No,,No,,,,,,Yes,Minor obstacle,Provide services of ,Internet Services,80,1522000.0,One Million And Five Hundred And Twenty Two Thousand  Only,180000.0,100,0,0,,,,No losses,No losses,0,100,No,,,No obstacle,Major obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,Only senior managers,No,,Non-managers are normally not promoted,Rarely or never,,,,Yes,Minor obstacle,Yes,Yes,Introduced Movie Hosting Services Without Extra Charges To The Clients Whom Are Using Establishment Internet,Initially Clients Were To Pay For  Internet And Netflix(International Movies Which Are Subscribed Monthly) But After Introduction Of Movie Hosting No Extra Charges Were Paid For Movies,Yes,"Introduced A Solution Called Net Pap Where Clients Can Be Able To Access Internet Using Smart Phones,Laptops Or Other Gadgets Without Demanding For Physical Installation . The Establishment Only Installs A Booster And Clients Around The Radius ","Initially, Clients Had To Buy Equipment To Be Installed In Their House/Offices To Be Able To Access Internet But With The New Solution, Clients Have To Be At The Establishment'S Wi-Fi Zone To Access Internet",No,,Yes,Yes,No,No,No,No,No,Not aware of the importance of patenting a new product or process,No,No,No,No,Yes,Yes,Very useful,In-house R&D and personnel,No obstacle,Very severe obstacle,Minor obstacle,,,,,,,,0,0,No,,,,,,No obstacle,Yes,,20000.0,Yes,,5000.0,Minor obstacle,100,0,0,0,0,,,Yes,230000.0,0.0,30.0,,0.0,,70.0,,0.0,,0.0,,0.0,,,,,Yes,No,Yes,State-owned banks or government agency,2016.0,670000.0,Yes,No,Yes,No,No,No,850000.0,1.0,110000.0,Yes,Yes,,Application was rejected,No,No,Negatively affected,Use of retained earnings or internal finance,Moderate obstacle,Yes,Satisfy customers' request,Yes,100.0,Yes,100.0,Yes,80.0,Yes,100.0,No,,Tend to disagree,42,Yes,2.0,No,No,,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,3.0,No,Yes,In line with my expectation,Does not apply,Remain the same,Major obstacle,Moderate obstacle,No obstacle,Major obstacle,Very severe obstacle,No obstacle,7,5,,,,,,,,0.0,No full-time seasonal or temporary workers,,,100.0,,Yes,,,,,Minor obstacle,Moderate obstacle,Business licensing and permits,1180000.0,,24000.0,,,,,26,10,2018,14,18,1,,4,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nr1015,No,Yes,50.000 to 250.000,7290,Trans Nzoia,Small (5-19),Other Services,Fresh,11.490598,10.415669,26.513754,114
629240,2184,Tourism,Small,Trans Nzoia,Hotel and restaurants: section H,Other services,Trans Nzoia,Small,16,7,2018,11,18,Kenya,Nb1318,English,Establishment,No,,,,,,2017,12,31,Sole proprietorship,,100,100,0,0,0,Yes,100.0,100,0,1990,Don't know (spontaneous),Yes,1990,5,No,No,,No,Yes,No,,,Yes,8.0,6.0,30.0,40.0,,Yes,50.0,No,,,,,,No,Major obstacle,Hotel or restaurant,"Accomodation, Beverages And Food",100,1200000.0,One Million And Two Hundred Thousand ,Don't know (spontaneous),100,0,0,,,,No losses,No losses,100,0,,,,Minor obstacle,Major obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Targets were not achieved,Only senior managers,No,,Non-managers are normally not promoted,After 6 months of identifying non-manager under-performance,,,,Yes,Major obstacle,Yes,Yes,"Introduction Of Professional Staff, Improving The Security In The Sector, Cctv And Fire Extinguisher","Introduction Of Shade Tents, Cctv Cameras For Security, Fire Extinguisher, Wi-Fi Services And Even Professional Staff",No,,,No,,No,No,No,No,No,No,No,Process is expensive,No,No,No,No,No,No,,Consultancy firms or individual consultants,Minor obstacle,Major obstacle,Major obstacle,,,,,,,,100,100,No,,,,,,Does not apply,No,,,No,,,No obstacle,100,0,0,0,0,,,Yes,250000.0,0.0,,250000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No effect,,No obstacle,No,,,,,,,,,,,Don't know enough about mobile money,Strongly agree,No time was spent,No,,,No,,Yes,No payments,No payments or gifts are paid,,No,,Yes,1.0,No,,No,,,Yes,Less than one day,No,No,,Increase,Increase,Major obstacle,Major obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,No obstacle,5,Don't know (spontaneous),,,,,,,,2.0,7,2.0,6.0,100.0,,No,,,,,Minor obstacle,Minor obstacle,Electricity,340000.0,,180000.0,,,,,16,7,2018,12,53,4,,1,Male,,,,,,,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nr1015,No,Yes,50.000 to 250.000,5510,Trans Nzoia,Small (5-19),Tourism,Fresh,4.8790236,4.1005726,6.319702,113
629241,2185,Other Services,Small,Trans Nzoia,Services of motor vehicles,Other services,Trans Nzoia,Small,18,7,2018,10,32,Kenya,Nr1005,English,Establishment,No,,,,,,2017,12,31,Sole proprietorship,,100,100,0,0,0,No,,100,0,2008,4,No,2010,15,No,No,,No,No,Yes,7.0,No,Yes,1.0,3.0,0.0,,216000.0,No,,No,,,,,,Yes,Major obstacle,Provide services of ,Repair Of Vehicles,100,8000000.0,Eight Million,500000.0,100,0,0,,,,No losses,5.0,80,20,No,,,Major obstacle,Minor obstacle,We fixed it but did not take further action,No,,No,,,,Yes,Their own performance as measured by targets,Based solely on performance and ability,Rarely or never,,,,Yes,Minor obstacle,Yes,No,We Offer Free Greasing Services And Car Wash To All Our Customers To Make Them Continue Coming To Our Garage,These Services Have Increased The Number Of Customers Coming To Our Firm For Services,No,,,No,,No,No,No,No,No,No,No,Did not know the process to apply,No,No,No,No,Yes,No,,Professional journals and trade publications,Moderate obstacle,Very severe obstacle,Minor obstacle,,,,,,,,100,0,No,,,,,,Minor obstacle,Yes,25.0,,Yes,,80000.0,Major obstacle,45,45,0,10,0,,,Yes,600000.0,0.0,,300000.0,,0.0,,300000.0,,0.0,,0.0,,0.0,,,,No,No,No,,,,,,,,,,,,,No,No,Size of loan and maturity were insufficient,,No,Yes,Positively affected,,Major obstacle,Yes, Reduce the time spent in financial transactions,Yes,20.0,Yes,50.0,Yes,100.0,Yes,50.0,Yes,,Strongly agree,No time was spent,No,,,No,,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,Less than one day,No,Yes,Above my expectation,Increase,Increase,Major obstacle,Minor obstacle,Major obstacle,Very severe obstacle,Moderate obstacle,No obstacle,5,0,,,,,,,,0.0,No full-time seasonal or temporary workers,,,,1.0,Yes,,,,,Minor obstacle,No obstacle,Political instability,600000.0,,12000.0,,,,,18,7,2018,11,40,1,,10,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Nr1015,No,Yes,50.000 to 250.000,5020,Trans Nzoia,Small (5-19),Other Services,Fresh,11.490598,10.415669,26.513754,114
629242,2189,Tourism,Medium,Trans Nzoia,Hotel and restaurants: section H,Other services,Trans Nzoia,Medium,8,6,2018,14,50,Kenya,Nb0053,English,Establishment,No,,,,,,2018,3,31,Partnership,,50,100,0,0,0,No,,0,0,1924,10,No,1926,28,No,No,,No,No,No,,,Yes,10.0,12.0,0.0,40.0,,Yes,25.0,No,,,,,,Yes,Major obstacle,Hotel or restaurant,Hospitality And Tourism,60,30000000.0,Thirty Million ,26000000.0,100,0,0,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,No,,,,No,,Based solely on performance and ability,Within 6 months of identifying non-manager under-performance,,,,No,No obstacle,No,,,,No,,,No,,,,,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Consultancy firms or individual consultants,No obstacle,No obstacle,Minor obstacle,,,,,,,,100,100,No,,,,,,No obstacle,Yes,,1008000.0,Yes,,100000.0,Minor obstacle,100,0,0,0,0,,,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No effect,,Minor obstacle,No,,,,,,,,,,,Establishmment's payment are too large to use mobile money,Tend to agree,20,Yes,2.0,No,Yes,3.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,Less than one day,No,No,,Remain the same,Remain the same,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,50,45,,,,,,,,20.0,15,5.0,Less than one month,90.0,,Yes,,,,,Minor obstacle,No obstacle,Electricity,24000000.0,,2400000.0,,,,,8,6,2018,15,45,4,,28,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nr1015,No,Yes,50.000 to 250.000,5510,Trans Nzoia,Medium (20-99),Tourism,Fresh,1.7965384,1.6774669,1.2230941,116
629243,2196,Food,Small,Trans Nzoia,Retail,Retail services,Trans Nzoia,Small,6,6,2018,8,43,Kenya,Nb0053,English,Establishment,No,,,,,,2017,12,30,Partnership,,70,100,0,0,0,No,,70,0,1974,20,Yes,1974,25,No,No,,No,No,No,,,Yes,3.0,3.0,0.0,3.0,,No,,No,,,,,,No,Major obstacle,Provide services of ,Repair Farm Tools,90,1000000.0,One Million ,1400000.0,100,0,0,,,,No internal shipments made (does not apply),,100,0,,,,Moderate obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,Yes,Main focus was on short-term (less than one year) production targets,Targets were not achieved,Only senior managers,No,,Non-managers are normally not promoted,Rarely or never,,,,Yes,Major obstacle,No,,,,Yes,Fabrication Of Products And Inputs,Initially Only Repairs Were Done But They Introduced Fabrication As A New Service,No,,No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,Yes,No,,Business associations,Major obstacle,Major obstacle,Moderate obstacle,,,,,,,,100,100,No,,,Don't know (spontaneous),,,Minor obstacle,Yes,,54000.0,No,,,Major obstacle,80,20,0,0,0,,,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No effect,,Major obstacle,No,,,,,,,,,,,Customers don't use mobile money,Strongly disagree,No time was spent,Yes,3.0,Yes,Yes,2.0,Yes,10.0,Don't know (spontaneous),,No,,No,,No,,No,,,Yes,7.0,Yes,No,,Increase,Increase,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,No obstacle,6,6,,,,,,,,1.0,2,0.0,3.0,50.0,,No,,,,,Minor obstacle,Moderate obstacle,Practices of competitors in the informal sector,450000.0,,120000.0,Don't know (spontaneous),,,,6,6,2018,9,50,4,,15,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nr1015,No,Yes,50.000 to 250.000,5260,Trans Nzoia,Small (5-19),Food,Fresh,1.2610484,1.1240807,1.737501,110
629244,2203,Food,Small,Trans Nzoia,Food,Manufacturing,Trans Nzoia,Small,24,1,2019,13,25,Kenya,Nr1015,English,Establishment,No,,,,,,2017,12,31,Sole proprietorship,,100,100,0,0,0,No,,100,0,2003,4,Yes,2002,15,No,No,,No,No,No,,,No,,,,,,No,,No,,,No,,,Don't know (spontaneous),Major obstacle,Manufacturing of ,Slaughtering Livestock,100,1200000.0,One Million Two Hundred Thousand ,800000.0,100,0,0,,,,No losses,No losses,100,0,,,,No obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,Most managers and most production workers,No,,Non-managers are normally not promoted,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,0.0,No,Yes,Moderate obstacle,No,,,,No,,,No,,,,,No,No,No,No,Not aware of the importance of patenting a new product or process,No,No,No,No,No,No,,Interactions with customers,Minor obstacle,No obstacle,Moderate obstacle,80.0,35.0,No,Yes,Yes,Yes,No,100,100,No,,,,,,Minor obstacle,No,,,No,,,No obstacle,100,0,0,0,0,,,No,,,,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No effect,,No obstacle,No,,,,,,,,,,,Customers don't use mobile money,Tend to disagree,40,Yes,2.0,Yes,Yes,4.0,No,,,20000.0,No,,No,,No,,No,,,Yes,15.0,No,No,,Increase,Increase,Moderate obstacle,Moderate obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,6,5,5.0,1.0,0.0,0.0,5.0,0.0,0.0,,No full-time seasonal or temporary workers,,,,2.0,No,,,,,Minor obstacle,Moderate obstacle,Tax rates,250000.0,16800.0,1.0,,720000.0,16800.0,5000.0,24,1,2019,13,57,4,,15,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nr1015,No,No,Less than 50.000,1511,Trans Nzoia,Small (5-19),Food,Fresh,1.2610484,1.1240807,1.737501,110
629245,2205,Tourism,Small,Trans Nzoia,Hotel and restaurants: section H,Other services,Trans Nzoia,Small,5,6,2018,12,51,Kenya,Nr1005,English,Establishment,No,,,,,,2017,12,31,Partnership,,90,100,0,0,0,No,,100,0,Don't know (spontaneous),6,Yes,2000,20,No,No,,Yes,No,No,,,Yes,8.0,6.0,0.0,,360000.0,Yes,10.0,No,,,,,,No,Major obstacle,Hotel or restaurant,Restaurant And Bar,100,Don't know (spontaneous),,540000.0,100,0,0,,,,No losses,No losses,100,0,,,,No obstacle,Major obstacle,We fixed it but did not take further action,Yes,1-2 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with more than normal effort,Only senior managers,No,,Based solely on performance and ability,DOES NOT APPLY (SPONTANEOUS),,,,Yes,Major obstacle,No,,,,No,,,No,,,,,No,No,No,No,Not aware of the importance of patenting a new product or process,No,No,No,No,No,No,,Interaction with suppliers,Minor obstacle,Very severe obstacle,Minor obstacle,,,,,,,,100,100,No,,,,,,No obstacle,Yes,,18000.0,Yes,,70000.0,Very severe obstacle,100,0,0,0,0,,,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Application procedures were complex,,No,No,No effect,,Very severe obstacle,Yes, Reduce the time spent in financial transactions,No,,Yes,10.0,Yes,100.0,No,,,,Tend to disagree,No time was spent,Yes,1.0,No,No,,No,,No payments or gifts are paid,,No,,No,,No,,Yes,Less than one day,No,Yes,Less than one day,No,No,,Remain the same,Remain the same,Very severe obstacle,No obstacle,Moderate obstacle,Very severe obstacle,No obstacle,No obstacle,1,1,,,,,,,,0.0,6,1.0,Less than one month,,0.0,No,,,,,Moderate obstacle,Moderate obstacle,Access to finance,120000.0,,24000.0,,,,,5,6,2018,14,21,1,,18,Female,Accountant,1.0,Male,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Nr1015,No,No,Less than 50.000,5520,Trans Nzoia,Small (5-19),Tourism,Fresh,4.8790236,4.1005726,6.319702,113
629246,2206,Food,Small,Trans Nzoia,Food,Manufacturing,Trans Nzoia,Small,20,7,2018,11,22,Kenya,Nr1005,English,Establishment,No,,,,,,2017,12,31,Shareholding company with non-traded shares or shares traded privately,,70,100,0,0,0,No,,70,100,2006,7,Yes,2006,5,No,No,,No,No,No,,,Yes,4.0,1.0,0.0,,4000.0,Yes,100.0,No,,,No,,,No,Moderate obstacle,Manufacturing of ,Mineral Water,100,24000000.0,Twenty Four Million,21500000.0,100,0,0,,,,1,1.0,100,0,,,,Minor obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,All managers and most production workers,Yes,Their companyâs performance as measured by targets,Based solely on performance and ability,Within 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,Too many to count,No,Yes,Major obstacle,Yes,Yes,Delivery Of Orders To Customers,It Reduces The Inconvenience To The Customer,No,,,Yes,50000.0,No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Business associations,Minor obstacle,Major obstacle,Moderate obstacle,75.0,48.0,No,No,No,No,Yes,100,100,Yes,30.0,Yes,,,,Moderate obstacle,Yes,1.0,,No,,,Moderate obstacle,90,0,0,10,0,,,No,,,,,,,,,,,,,,,No,,,Yes,Yes,No,,,,,,,,,,,,,No,Yes,,Application was approved in full,Yes,No,No effect,,Minor obstacle,Yes, Reduce the time spent in financial transactions,No,,Yes,20.0,No,,Yes,5.0,No,,Tend to disagree,15,Yes,1.0,No,Yes,10.0,No,,1.0,,No,,No,,No,,No,,,Yes,7.0,No,Yes,In line with my expectation,Increase,Remain the same,Major obstacle,Major obstacle,Major obstacle,Major obstacle,Major obstacle,Moderate obstacle,19,19,15.0,4.0,3.0,2.0,10.0,15.0,4.0,,5,4.0,6.0,100.0,,No,,,,,No obstacle,No obstacle,Practices of competitors in the informal sector,5000000.0,9000000.0,540000.0,,14540000.0,7000000.0,10000000.0,20,7,2018,12,41,4,,3,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Nr1015,No,Yes,50.000 to 250.000,1554,Trans Nzoia,Small (5-19),Food,Fresh,1.2610484,1.1240807,1.737501,110
629247,2216,Other Manufacturing,Medium,Uasin Gishu,Recycling,Manufacturing,Uasin Gishu,Medium,12,6,2018,10,33,Kenya,Nb1090,English,Establishment,No,,,,,,2017,6,30,Shareholding company with non-traded shares or shares traded privately,,99,99,0,0,1,Yes,33.0,0,0,2005,Don't know (spontaneous),Yes,2005,4,No,No,,Yes,Yes,No,,,Yes,Don't know (spontaneous),,,Don't know (spontaneous),,No,,No,,,Yes,20.0,20.0,Yes,Minor obstacle,Manufacturing of ,Recycling  Of Wastepaper And Tailoring,60,9000000.0,Nine Million,12000000.0,60,0,40,30.0,No,2006.0,No losses,No losses,50,50,No,,,Moderate obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,No,,,,No,,Don't know (spontaneous),Rarely or never,International,Too many to count,Yes,Yes,Minor obstacle,Yes,No,Introduced New Bags With Soft Texture And Different Colours Into The Market; Before It Was Just Simple Bags,The New Bags Have A Soft Texture And Different Colours Compared To The Previous Bags Which Were Simple,No,,,No,,No,No,No,No,No,No,No,Don't know (spontaneous),No,No,No,No,No,No,,Interaction with suppliers,Moderate obstacle,Major obstacle,No obstacle,Don't know (spontaneous),40.0,Yes,No,No,No,Yes,0,0,No,,,,,,No obstacle,Yes,,120000.0,No,,,Minor obstacle,95,0,0,5,0,,,Yes,150000.0,100000.0,95.0,,0.0,,0.0,,0.0,,5.0,,0.0,,Yes,70000.0,0.0,Yes,No,No,,,,,,,,,,,,,No,No,Don't know (spontaneous),,Yes,No,No effect,,Major obstacle,Yes,Reduce costs of financial transactions,No,,No,,Yes,100.0,No,,,,Does not apply,10,Yes,3.0,Don't know (spontaneous),Yes,2.0,Yes,No payments,No payments or gifts are paid,,Yes,30.0,Yes,3.0,Yes,30.0,No,,,Yes,5.0,No,Yes,In line with my expectation,Does not apply,Increase,Minor obstacle,No obstacle,Minor obstacle,Major obstacle,Does not apply,No obstacle,10,12,10.0,0.0,10.0,0.0,0.0,7.0,0.0,,35,33.0,6.0,20.0,,Yes,No employees trained,,20.0,,Does not apply,No obstacle,Transport,5000000.0,3000000.0,120000.0,,3000000.0,4000000.0,10000000.0,12,6,2018,11,49,2,,4,Male,,,,,,,Truthful,Are in some case taken from books and in some case estimates,Several visits,1.0,50.0,Cr0024,No,Yes,Over 250.000 to 1 million,3720,Uasin Gishu,Medium and Large (20+),Other Manufacturing,Fresh,1.2550815,2.3335037,1.8909384,135
629248,2218,Retail,Medium,Uasin Gishu,Retail,Retail services,Uasin Gishu,Medium,15,8,2018,9,36,Kenya,Nb1356,English,Establishment,Yes,2.0,Yes,Yes,Yes,,2018,7,31,Partnership,,60,100,0,0,0,Yes,50.0,100,100,1983,Don't know (spontaneous),No,1988,10,No,No,,Yes,No,No,,,Yes,3.0,6.0,0.0,50.0,,No,,No,,,,,,No,Very severe obstacle,Retail trade of ,Selling Phones,80,40000000.0,Forty Million,60000000.0,100,0,0,,,,No losses,5.0,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Non-managers are normally not promoted,Rarely or never,,,,Yes,Major obstacle,No,,,,No,,,No,,,,,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Internet,Minor obstacle,Moderate obstacle,Major obstacle,,,,,,,,0,0,No,,,2000.0,Square Feet,,No obstacle,Yes,5.0,,No,,,No obstacle,100,0,0,0,0,,,Yes,0.0,1000000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,No,No,No effect,,Minor obstacle,Yes, Reduce the time spent in financial transactions,No,,No,,Yes,10.0,Yes,40.0,No,,Tend to disagree,20,Yes,4.0,Yes,Yes,4.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,3.0,No,Yes,In line with my expectation,Increase,Remain the same,Major obstacle,Major obstacle,Minor obstacle,Major obstacle,No obstacle,No obstacle,35,50,,,,,,,,17.0,No full-time seasonal or temporary workers,,,100.0,,No,,,,,No obstacle,No obstacle,Tax administration,6300000.0,,100000.0,10000000.0,,,,15,8,2018,10,31,9,,8,Male,,,,,,,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Cr0024,No,Yes,Over 250.000 to 1 million,5239,Uasin Gishu,Medium and Large (20+),Retail,Fresh,1.1696821,1.7907658,3.0815918,136
629249,2220,Other Manufacturing,Small,Uasin Gishu,Non metallic mineral products,Manufacturing,Uasin Gishu,Small,31,5,2018,14,7,Kenya,Nb1356,English,Establishment,Yes,2.0,Yes,Yes,Yes,,2017,12,31,Sole proprietorship,,100,100,0,0,0,Yes,100.0,100,0,2009,5,Yes,2009,3,No,No,,Yes,No,Yes,7.0,Yes,No,,,,,,No,,Yes,14.0,Yes,Yes,12.0,12.0,Yes,Major obstacle,Manufacturing of ,Building Blocks,75,9600000.0,Nine Million And Six Hundred Thousand,3500000.0,100,0,0,,,,5,5.0,100,0,,,,Major obstacle,Moderate obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,Most managers and some production workers,No,,Based solely on performance and ability,After 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,6.0,No,No,Moderate obstacle,Yes,No,They Increased The Size Of The Blocks,Previously They Were Producing Small Blocks But They Have Now Increased The Size,Yes,Introduced Electric Machines,"Previously, We Were Using Manual Machines",No,,No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Professional journals and trade publications,Moderate obstacle,Very severe obstacle,Major obstacle,20.0,54.0,Yes,Yes,Yes,Don't know (spontaneous),Yes,100,0,Yes,30.0,Yes,,,,Major obstacle,Yes,,120000.0,Yes,,480000.0,Minor obstacle,50,50,0,0,0,,,Yes,0.0,450000.0,70.0,,0.0,,30.0,,0.0,,0.0,,0.0,,Yes,1000000.0,0.0,Yes,No,Yes,State-owned banks or government agency,2016.0,100000.0,Yes,Yes,Yes,No,No,No,10000000.0,1.0,Refusal (spontaneous),Yes,No,Other,,Yes,No,Negatively affected,No alternative used,Major obstacle,Yes,Reduce the risks in financial transactions,Yes,30.0,Yes,80.0,Yes,100.0,Yes,40.0,Yes,,Tend to disagree,20,Yes,3.0,Yes,Yes,20.0,Yes,30.0,5.0,,Yes,40.0,Yes,3.0,No,,No,,,Yes,Less than one day,No,No,,Increase,Increase,Moderate obstacle,Major obstacle,Moderate obstacle,Very severe obstacle,Major obstacle,No obstacle,2,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,4,0.0,Less than one month,,2.0,No,,,,,Moderate obstacle,Moderate obstacle,Access to finance,720000.0,1600000.0,180000.0,,2492000.0,1600000.0,30000000.0,31,5,2018,17,14,4,,3,Male,,,,,,,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Cr0024,No,Yes,Over 250.000 to 1 million,2695,Uasin Gishu,Small (5-19),Other Manufacturing,Fresh,1.0,1.2370136,2.157407,123
