idstd,id,a4a,a6a,a2,a4b,a0,a3a,a6b,a14d,a14m,a14y,a14h,a14min,a1,a12,a1a,a1c,a7,a7a,a7b,a11,a7c,a7dx_num,a9,a20y,a20m,a20d,b1,b1x,b3,b3a,b2a,b2b,b2c,b2d,SAb1a,SAb1b,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,c22b,c30a,d1a1a,d1a1x,d1a3,d2,d2x,n3,d3a,d3b,d3c,d4,d5a,d8,SAd1a,SAd1b,SAd1c,SAd1d,d10,d11,d12a,d12b,d13,d14,d15a,d30a,d30b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,SAe1,SAe2,SAe3,SAe4,SAe5,SAe6a,SAe6b,SAe6c,SAe6d,e6,e11,SAe7,SAe8,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,f2,g6a,g1a,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,SAi1a,SAi1b,SAi1c,SAi1d,i30,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k16,k17,k20a1,k21,k30,h7a,j2,j3,j4,j5,j6a,j6,j7a,j7b,SAj4,SAj5a,SAj5b,SAj5c,SAj6,SAj7,SAj8,SAj9,SAj10,SAj11,j10,j11,j12,j13,j14,j15,SAj12,SAj13,SAj14a,SAj14b,SAj15,j30a,j30b,j30c,j30e,j30f,h30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9b,l9b1,SAl1a1,SAl1b1,SAl1a2,SAl1b2,SAl1a3,SAl1b3,SAl1a4,SAl1b4,SAl1a5,SAl1b5,SAl1a6,SAl1b6,SAl2a,SAl2b,SAl2c,SAl2d,SAl2e,SAl2f,SAl3,SAl4a1,SAl4a2,SAl4a3,SAl4a4,SAl4a5,l10,l11a,l11a1,l11b,l11b1,SAl6,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,COVb1a,COVb1b,COVb2a,COVb2b,COVb2c,COVc2b,COVc2c,COVc4a,COVd3a,COVd3b,COVd6,COVd8,COVe1a,COVe2,COVf1,COVf2a,COVf2b,COVf2c,COVf2d,COVf2e,COVf2i,COVf2fx,SAf3,SAf3x,COVg2,n2a,n2e,n2b,n2i,n2p,n2e1,n7a,SAj3,a15d,a15m,a15y,a15h,a15min,a15a1a,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2,a15a2_check,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
713940,1002894,Motor Vehicles,Large,KwaZulu-Natal,Retail,Retail services,KwaZulu-Natal,Small,2,9,2020,13,50,ZAF,Int_C015,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,1998,15,1998,10,Yes,No,,No,,,Yes,15.0,2.0,0.0,None,,Yes,10.0,No,,,,,,Yes,Moderate obstacle,Retail trade of ,retail trade of cellular accessories,100,80000.0,eighty thousand ,100000.0,100,0,0,,,,,,,,No losses,No losses,50,50,Yes,30.0,No,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 indicators,Yes,Combination of short-term and long-term targets,Achieved with more than normal effort,Don't know (spontaneous),Don't know (spontaneous),,Does not apply,DOES NOT APPLY (SPONTANEOUS),,,Don't know (spontaneous),1 to 5,Don't know (spontaneous),Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Don't know (spontaneous),Don't know (spontaneous),Minor obstacle,No,,,,No,,,No,,,,0,0,No,,,Don't know (spontaneous),,,Minor obstacle,Yes,2.0,,No,,,No,No,No,No,Minor obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,Application procedures were complex,,No,Major obstacle,Strongly disagree,50,No,,,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,Yes,1.0,Ownership ,Skills Development,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,1,6,3,2,5,15,20,,,,,,,,10.0,6,4.0,6.0,70.0,,1,1,1,Does not apply,0,Does not apply,2,2,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Access to finance,5,3,11,12,8,14,13,2,15,6,1,10,4,9,7,Yes,12.0,Decrease,,50.0,Decrease,Decrease,Yes,Remain the same,Remain the same,,,Decrease,None of the above,No,,,,,,No,,Deferral of tax payments,,Don't know (spontaneous),40000.0,,30000.0,20000.0,,,,4,2.0,9.0,2020.0,14.0,43.0,Other Management,,,Female,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,,No,No,Less than 50.000,5239,10.0,3,3,4,0,5.4,5.4,5.4,98
713941,1002918,Construction,Large,Eastern Cape,Construction Section F: ,Other services,Eastern Cape,Small,15,12,2020,8,24,ZAF,INT_C012,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,2003,4,2003,7,No,No,,No,,,Yes,3.0,2.0,0.0,None,,No,,No,,,,,,Yes,No obstacle,Construction of,construction of residential homes,100,2000000.0,two million ,6000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,,,5,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,,,50,50,No,,,,,,No obstacle,No,,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,No,,,,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,1,4,3,2,5,13,13,,,,,,,,0.0,No full-time seasonal or temporary workers,,,100.0,,2,2,2,2,2,2,1,Does not apply,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,6,14,4,13,11,12,3,15,7,5,2,10,9,1,8,Yes,10.0,Decrease,,30.0,Decrease,Decrease,Yes,Remain the same,Remain the same,,,Decrease,None of the above,No,,,,,,No,,Access to new credit,,8.0,760000.0,,48000.0,,,,,2,15.0,12.0,2020.0,8.0,26.0,Other Management,,,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,No,50.000 to 250.000,4520,7.0,1,3,6,0,37.166668,37.166668,37.166668,26
713942,1002929,Motor Vehicles,Large,Western Cape,Retail,Retail services,Western Cape,Small,14,7,2020,16,49,ZAF,Int_C015,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Don't know (spontaneous),100,0,0,0,No,No,No,,2014,5,2001,5,No,No,,No,,,Yes,10.0,2.0,0.0,None,,No,,No,,,,,,No,No obstacle,Retail trade of ,retail trade of picture frames,100,160000.0,one hundred and sixty thousand ,150000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,DOES NOT APPLY (SPONTANEOUS),No,,No,,,,No,,Does not apply,DOES NOT APPLY (SPONTANEOUS),,,2,1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Don't know (spontaneous),Don't know (spontaneous),No obstacle,No,,,,No,,,Yes,50000.0,,,0,0,No,,,Don't know (spontaneous),,,Moderate obstacle,Yes,2.0,,Yes,35.0,,No,No,No,No,Major obstacle,60,40,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to disagree,40,No,,,Yes,No payments,No payments or gifts are paid,,No,,,,,,,,,,No,,,No,,,No,,,,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,4,2,6,3,1,7,5,,,,,,,,0.0,No full-time seasonal or temporary workers,,,100.0,,1,Does not apply,1,Does not apply,1,Does not apply,1,Does not apply,0,Does not apply,1,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Access to finance,10,1,12,9,3,2,11,13,6,15,14,8,7,4,5,Yes,12.0,Decrease,,40.0,Decrease,Decrease,Yes,Remain the same,Remain the same,,,Decrease,None of the above,Yes,No,No,No,No,Yes,Yes,uif ters funding,"Deferral of rent, mortgage, or utilities",,3.0,100000.0,,60000.0,40000.0,,,,3,14.0,7.0,2020.0,16.0,54.0,Owner,,,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1.0,No,No,50.000 to 250.000,5239,5.0,4,3,4,0,5.3846154,5.3846154,5.3846154,127
713943,1002945,Food,Large,Eastern Cape,Retail,Retail services,KwaZulu-Natal,Medium,21,12,2020,11,6,ZAF,Int_C015,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,No,100,0,0,0,No,No,No,,1900,30,2008,10,No,No,,No,,,Yes,10.0,2.0,0.0,None,,Yes,2.0,No,,,,,,Yes,Major obstacle,Retail trade of ,retail trade of meat,100,50000000.0,fifty million ,65000000.0,100,0,0,,,,,,,,No internal shipments made (does not apply),,100,0,,,,Minor obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,10 or more indicators,Yes,Combination of short-term and long-term targets,Achieved with more than normal effort,Most managers and most production workers,No,,Non-managers are normally not promoted,Rarely or never,,,1,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,They have favored access to subsidies and government support or contracts,None of the above,Minor obstacle,No,,,,No,,,Yes,40000.0,,,0,0,Yes,14.0,No,Don't know (spontaneous),,,Minor obstacle,Yes,5.0,,No,,,No,No,No,No,Minor obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,Moderate obstacle,Strongly disagree,40,Yes,1.0,No,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,No,,,,No,Major obstacle,No obstacle,Major obstacle,Very severe obstacle,Major obstacle,Very severe obstacle,5,1,4,2,6,3,40,50,,,,,,,,20.0,5,2.0,6.0,60.0,,3,1,3,1,0,Does not apply,2,1,0,Does not apply,6,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,Minor obstacle,Minor obstacle,Tax rates,5,6,10,11,8,12,1,13,15,14,2,3,4,9,7,No,,Decrease,,40.0,Decrease,Decrease,No,Decrease,Remain the same,1.0,0.0,Decrease,None of the above,No,,,,,,No,,Access to new credit,,16.0,3000000.0,,500000.0,600000.0,,,,5,21.0,12.0,2020.0,11.0,8.0,Other Management,,,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1.0,No,No,Over 250.000 to 1 million,5220,10.0,1,3,1,0,3.0555553,3.0555553,3.0555553,17
713944,1003033,Motor Vehicles,Large,Eastern Cape,Fabricated metal products,Manufacturing,Eastern Cape,Medium,9,12,2020,12,34,ZAF,INT_C010,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,2004,10,2004,10,No,No,,No,,,Yes,2.0,2.0,0.0,None,,Yes,50.0,No,,,No,,,Yes,No obstacle,Manufacturing of ,manufacturing of steel,100,10000000.0,ten million ,20000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,1,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,No,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,80.0,160.0,50,50,No,,,,,,No obstacle,No,,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,Yes,2.0,Ownership ,Ownership ,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,2,5,4,3,6,1,35,35,30.0,5.0,25.0,5.0,0.0,2.0,1.0,,No full-time seasonal or temporary workers,,,70.0,,5,5,5,5,5,5,5,Does not apply,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,8,6,5,7,10,11,3,13,4,9,12,14,15,1,2,Yes,8.0,Remain the same,,,Remain the same,Remain the same,Yes,Remain the same,Remain the same,,,Remain the same,,Yes,No,No,No,No,Yes,Yes,uif ters funding,Access to new credit,,0.0,2000000.0,600000.0,50000.0,,2650000.0,400000.0,12000000.0,3,9.0,12.0,2020.0,12.0,41.0,Other Management,,,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,No,Less than 50.000,2710,5.0,1,3,4,0,2.9333334,2.9333334,2.9333334,22
713945,1003074,Food,Large,Eastern Cape,Construction Section F: ,Other services,Eastern Cape,Small,24,8,2020,7,56,ZAF,Int_C015,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,1998,10,1998,8,No,No,,No,,,Yes,15.0,2.0,0.0,None,,No,,No,,,,,,Yes,Major obstacle,Construction of,construction of homes,100,250000.0,two hundred and fifty thousand ,500000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Does not apply,DOES NOT APPLY (SPONTANEOUS),,,Don't know (spontaneous),1 to 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Don't know (spontaneous),Don't know (spontaneous),No obstacle,No,,,,No,,,No,,,,0,0,No,,,,,,Minor obstacle,Yes,2.0,,No,,,No,No,No,No,Minor obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Application procedures were complex,,No,Major obstacle,Strongly disagree,100,No,,,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,Yes,1.0,Ownership ,Skills Development,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,3,1,2,4,6,10,10,,,,,,,,0.0,8,0.0,6.0,40.0,,2,Does not apply,2,Does not apply,2,Does not apply,2,Does not apply,1,Does not apply,1,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Access to finance,5,7,13,10,11,12,2,1,6,9,14,3,15,4,8,Yes,12.0,Decrease,,Don't know (spontaneous),Decrease,Decrease,Don't know (spontaneous),Don't know (spontaneous),Decrease,2.0,0.0,Decrease,None of the above,No,,,,,,No,,Wage subsidies,,Don't know (spontaneous),120000.0,,80000.0,,,,,4,24.0,8.0,2020.0,8.0,16.0,Owner,,,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1.0,No,No,50.000 to 250.000,4520,10.0,1,3,1,0,3.0555553,3.0555553,3.0555553,17
713946,1003089,Motor Vehicles,Large,Western Cape,63,Other services,Western Cape,Medium,22,12,2020,10,29,ZAF,Int_C015,English,Firm,No,,,,,,,2020,6,30,Shareholding company with non-traded shares or shares traded privately,,100,No,100,0,0,0,No,No,No,,2001,30,2001,5,Yes,No,,No,,,Yes,10.0,2.0,0.0,None,,Yes,2.0,No,,,,,,No,Major obstacle,Provide services of ,of vehicle rental,100,2000000.0,two million ,4000000.0,100,0,0,,,,,,,,No internal shipments made (does not apply),,100,0,,,,Minor obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,10 or more indicators,Yes,Combination of short-term and long-term targets,Only achieved with extraordinary effort,All managers and most production workers,No,,Non-managers are normally not promoted,Rarely or never,,,1,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,They have favored access to subsidies and government support or contracts,Criteria for licensing that puts certain types of firms at a disadvantage.,Moderate obstacle,No,,,,No,,,Yes,30000.0,,,0,0,No,,,,,,Minor obstacle,Yes,5.0,,No,,,No,No,No,No,Moderate obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,Minor obstacle,Tend to disagree,40,Yes,1.0,No,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,Yes,2.0,Ownership ,Skills Development,No,Minor obstacle,Moderate obstacle,Minor obstacle,Very severe obstacle,Major obstacle,Minor obstacle,6,4,5,3,2,1,25,30,,,,,,,,10.0,3,1.0,4.0,100.0,,2,1,1,Does not apply,0,Does not apply,4,2,0,Does not apply,10,0,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,Moderate obstacle,Minor obstacle,Political instability,15,14,6,12,11,7,1,10,8,5,13,3,2,4,9,No,,Decrease,,10.0,Decrease,Decrease,Don't know (spontaneous),Don't know (spontaneous),Decrease,3.0,2.0,Decrease,None of the above,No,,,,,,No,,Access to new credit,,8.0,1000000.0,,80000.0,,,,,4,22.0,12.0,2020.0,10.0,31.0,Other Management,,,Female,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1.0,No,No,50.000 to 250.000,6022,5.0,4,3,4,0,5.3846154,5.3846154,5.3846154,127
713947,1003140,Food,Large,Western Cape,Transport  Section I: (60-64),Other services,Eastern Cape,Small,16,12,2020,14,7,ZAF,INT_C012,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,Yes,No,No,,1994,6,1994,16,No,No,,No,,,Yes,5.0,2.0,0.0,10.0,,Yes,100.0,No,,,,,,No,No obstacle,Provide services of ,land freight of fruit juice,100,2000000.0,two million ,4000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,,,6,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,No,Other obstacles not mentioned above,None of the above,No obstacle,No,,,,No,,,No,,,,100,100,No,,,,,,No obstacle,Yes,2.0,,No,,,No,No,No,No,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,Tend to disagree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,No,,,,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,2,6,5,3,4,12,12,,,,,,,,2.0,No full-time seasonal or temporary workers,,,20.0,,2,2,0,Does not apply,0,Does not apply,0,Does not apply,0,Does not apply,8,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Electricity,1,2,11,6,12,8,5,13,10,14,4,3,9,15,7,Yes,3.0,Decrease,,50.0,Decrease,Decrease,Yes,Remain the same,Remain the same,,,Decrease,None of the above,Yes,No,No,No,No,Yes,Yes,uif ters funding,Wage subsidies,,0.0,500000.0,,70000.0,,,,,4,16.0,12.0,2020.0,14.0,9.0,Other Management,,,Female,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1.0,No,No,50.000 to 250.000,6023,16.0,4,3,1,0,10.096774,10.096774,10.096774,123
713948,1003210,Other Manufacturing,Large,Eastern Cape,Hotel and restaurants: section H,Other services,Eastern Cape,Small,12,8,2020,9,9,ZAF,Int_C015,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,Yes,100.0,2007,10,2007,13,Yes,Don't know (spontaneous),,No,,,Yes,10.0,2.0,0.0,None,,No,,No,,,,,,No,No obstacle,Hotel or restaurant,provide services of catering,100,70000.0,seventy thousand ,100000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,No obstacle,No obstacle,We fixed it but did not take further action,No,,No,,,,Don't know (spontaneous),,Does not apply,DOES NOT APPLY (SPONTANEOUS),,,Don't know (spontaneous),More than 5,Don't know (spontaneous),Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,,Yes,Don't know (spontaneous),Don't know (spontaneous),No obstacle,No,,,,No,,,No,,,,0,0,No,,,,,,No obstacle,No,,,No,,,No,No,No,No,No obstacle,20,40,20,0,20,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Application procedures were complex,,No,Major obstacle,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,Yes,1.0,Ownership ,Skills Development,No,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,2,4,1,3,6,5,5,5,,,,,,,,2.0,No full-time seasonal or temporary workers,,,50.0,,1,0,1,0,0,Does not apply,1,1,Don't know (spontaneous),Does not apply,2,0,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,No obstacle,No obstacle,Access to finance,3,9,10,7,14,5,12,15,1,11,2,13,4,6,8,Yes,1.0,Decrease,,Don't know (spontaneous),Decrease,Don't know (spontaneous),Yes,Remain the same,Remain the same,,,Don't know (spontaneous),,No,,,,,,No,,Wage subsidies,,Don't know (spontaneous),40000.0,,30000.0,,,,,2,12.0,8.0,2020.0,9.0,30.0,Owner,,,Female,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1.0,No,No,Less than 50.000,5520,10.0,1,3,5,0,21.0,21.0,21.0,24
713949,1003278,Food,Large,Eastern Cape,Food,Manufacturing,Eastern Cape,Medium,29,10,2020,14,26,ZAF,INT_C011,English,Firm,No,,,,,,,2020,2,29,Shareholding company with non-traded shares or shares traded privately,,100,Yes,100,0,0,0,No,No,No,,1988,70,1988,32,No,No,,No,,,No,,,,,,No,,No,,,No,,,No,No obstacle,Manufacturing of ,Manufacturing of baking products.,60,5000000.0,five million ,10000000.0,100,0,0,,,,,,,,No losses,No losses,100,0,,,,Minor obstacle,Minor obstacle,We fixed it but did not take further action,No,,No,,,,No,,Based solely on performance and ability,Rarely or never,National â main product sold mostly across the country where establishment is located,5.0,60,More than 5,South African private firms operating in the same Province ,Happy with my current supplier didnât want to change,Happy with my current distributor  didnât want to change,No,No,No,No,No,No,They have favored access to subsidies and government support or contracts,None of the above,Minor obstacle,No,,,,No,,,No,,100.0,60.0,100,100,No,,,,,,Minor obstacle,Yes,1.0,,Yes,1.0,,No,No,No,No,Minor obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,Minor obstacle,Tend to disagree,15,Yes,1.0,No,No,,No payments or gifts are paid,,No,,,,,,,,No,,No,,,No,,,Yes,3.0,Ownership ,Skills Development,No,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Major obstacle,Major obstacle,4,2,6,5,3,1,70,70,69.0,1.0,69.0,0.0,0.0,69.0,1.0,,No full-time seasonal or temporary workers,,,80.0,,1,1,0,Does not apply,33,Does not apply,35,35,0,Does not apply,0,Does not apply,As required,As required,As required,As required,As required,As required,No,,,,,,No,,,,,,Minor obstacle,Minor obstacle,Courts,4,14,6,15,11,13,7,3,10,12,8,2,1,9,5,No,,Remain the same,,,Remain the same,Remain the same,No,Remain the same,Remain the same,,,Remain the same,,Yes,No,No,No,No,Yes,Yes,uif ters funding,Wage subsidies,,52.0,3000000.0,700000.0,200000.0,,3900000.0,1000000.0,1000000.0,4,29.0,10.0,2020.0,14.0,27.0,Other Management,,,Female,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1.0,No,No,Over 250.000 to 1 million,1541,5.0,1,3,1,0,3.0555553,3.0555553,3.0555553,17
